Issue Date,Weekday,Quantity,%
2015-09-15T00:00:00,b'Tuesday',1640958,19.45735936836546
2015-12-17T00:00:00,b'Thursday',1584621,18.789353694402077
2015-09-16T00:00:00,b'Wednesday',1552237,18.40536633714787
2015-12-18T00:00:00,b'Friday',1374309,16.295617618597774
2015-12-21T00:00:00,b'Monday',1365862,16.195458860979002
2015-12-26T00:00:00,b'Saturday',485931,5.761837960038707
2015-12-27T00:00:00,b'Sunday',429693,5.0950061604691035
